datetime,DOsp_1,error_1,error_2,NH4_1,NO3_1,P,I,D
2019-08-27 21:25:00,0.02,-3.9932,-4.0021,6.3453,10.3385,0.1,0.0025,0.1
2019-08-27 21:26:00,0.02,-3.9425,-3.9932,6.3686,10.311,0.1,0.0025,0.1
2019-08-27 21:27:00,0.02,-3.8964,-3.9425,6.4006,10.297,0.1,0.0025,0.1
2019-08-27 21:28:00,0.02,-3.8924,-3.8964,6.4088,10.3012,0.1,0.0025,0.1
2019-08-27 21:29:00,0.0209,-3.8378,-3.8924,6.4356,10.2734,0.1,0.0025,0.1
2019-08-27 21:30:00,0.02,-3.8465,-3.8378,6.4353,10.2818,0.1,0.0025,0.1
2019-08-27 21:31:00,0.02,-3.8056,-3.8465,6.4536,10.2592,0.1,0.0025,0.1
2019-08-27 21:32:00,0.02,-3.7696,-3.8056,6.4762,10.2458,0.1,0.0025,0.1
2019-08-27 21:33:00,0.02,-3.7498,-3.7696,6.4822,10.232,0.1,0.0025,0.1
2019-08-27 21:34:00,0.02,-3.7653,-3.7498,6.4798,10.2452,0.1,0.0025,0.1
2019-08-27 21:35:00,0.02,-3.7714,-3.7653,6.4731,10.2445,0.1,0.0025,0.1
2019-08-27 21:36:00,0.02,-3.8032,-3.7714,6.4637,10.2669,0.1,0.0025,0.1
2019-08-27 21:37:00,0.02,-3.7792,-3.8032,6.4824,10.2616,0.1,0.0025,0.1
2019-08-27 21:38:00,0.02,-3.7284,-3.7792,6.5106,10.239,0.1,0.0025,0.1
2019-08-27 21:39:00,0.02,-3.7368,-3.7284,6.515,10.2518,0.1,0.0025,0.1
2019-08-27 21:40:00,0.02,-3.7223,-3.7368,6.5206,10.2429,0.1,0.0025,0.1
2019-08-27 21:41:00,0.02,-3.6796,-3.7223,6.536,10.2156,0.1,0.0025,0.1
2019-08-27 21:42:00,0.02,-3.6667,-3.6796,6.548,10.2147,0.1,0.0025,0.1
2019-08-27 21:43:00,0.02,-3.6288,-3.6667,6.5679,10.1967,0.1,0.0025,0.1
2019-08-27 21:44:00,0.02,-3.5974,-3.6288,6.5858,10.1831,0.1,0.0025,0.1
2019-08-27 21:45:00,0.02,-3.6148,-3.5974,6.5678,10.1826,0.1,0.0025,0.1
2019-08-27 21:46:00,0.02,-3.591,-3.6148,6.5827,10.1737,0.1,0.0025,0.1
2019-08-27 21:47:00,0.02,-3.5824,-3.591,6.5865,10.1689,0.1,0.0025,0.1
2019-08-27 21:48:00,0.0201,-3.5335,-3.5824,6.6126,10.1461,0.1,0.0025,0.1
2019-08-27 21:49:00,0.02,-3.4927,-3.5335,6.6308,10.1235,0.1,0.0025,0.1
2019-08-27 21:50:00,0.02,-3.4743,-3.4927,6.6399,10.1142,0.1,0.0025,0.1
2019-08-27 21:51:00,0.02,-3.4406,-3.4743,6.6555,10.0962,0.1,0.0025,0.1
2019-08-27 21:52:00,0.02,-3.4503,-3.4406,6.6582,10.1086,0.1,0.0025,0.1
2019-08-27 21:53:00,0.0218,-3.4034,-3.4503,6.6823,10.0857,0.1,0.0025,0.1
2019-08-27 21:54:00,0.02,-3.3734,-3.4034,6.7034,10.0768,0.1,0.0025,0.1
2019-08-27 21:55:00,0.02,-3.3623,-3.3734,6.7182,10.0806,0.1,0.0025,0.1
2019-08-27 21:56:00,0.02,-3.3242,-3.3623,6.734,10.0582,0.1,0.0025,0.1
2019-08-27 21:57:00,0.02,-3.316,-3.3242,6.7461,10.0621,0.1,0.0025,0.1
2019-08-27 21:58:00,0.02,-3.3123,-3.316,6.7545,10.0668,0.1,0.0025,0.1
2019-08-27 21:59:00,0.0213,-3.2629,-3.3123,6.7855,10.0484,0.1,0.0025,0.1
2019-08-27 22:00:00,0.02,-3.2265,-3.2629,6.804,10.0305,0.1,0.0025,0.1
2019-08-27 22:01:00,0.02,-3.1823,-3.2265,6.8345,10.0168,0.1,0.0025,0.1
2019-08-27 22:02:00,0.02,-3.1394,-3.1823,6.8594,9.9988,0.1,0.0025,0.1
2019-08-27 22:03:00,0.02,-3.0982,-3.1394,6.8871,9.9853,0.1,0.0025,0.1
2019-08-27 22:04:00,0.0699,-2.7931,-3.0982,7.0617,9.8548,0.1,0.0025,0.1
2019-08-27 22:05:00,0.0744,-2.5855,-2.7931,7.1476,9.7331,0.1,0.0025,0.1
2019-08-27 22:06:00,0.0614,-2.5153,-2.5855,7.1833,9.6986,0.1,0.0025,0.1
2019-08-27 22:07:00,0.0633,-2.4402,-2.5153,7.2155,9.6557,0.1,0.0025,0.1
2019-08-27 22:08:00,0.0687,-2.3462,-2.4402,7.2545,9.6007,0.1,0.0025,0.1
2019-08-27 22:09:00,0.0627,-2.3005,-2.3462,7.2872,9.5877,0.1,0.0025,0.1
2019-08-27 22:10:00,0.0683,-2.2219,-2.3005,7.3234,9.5453,0.1,0.0025,0.1
2019-08-27 22:11:00,0.0711,-2.1416,-2.2219,7.3698,9.5114,0.1,0.0025,0.1
2019-08-27 22:12:00,0.0711,-2.0755,-2.1416,7.406,9.4815,0.1,0.0025,0.1
2019-08-27 22:13:00,0.0703,-2.0212,-2.0755,7.4356,9.4568,0.1,0.0025,0.1
2019-08-27 22:14:00,0.0724,-1.9591,-2.0212,7.4724,9.4315,0.1,0.0025,0.1
2019-08-27 22:15:00,0.0898,-1.8184,-1.9591,7.5508,9.3692,0.1,0.0025,0.1
2019-08-27 22:16:00,0.0943,-1.7041,-1.8184,7.6149,9.3191,0.1,0.0025,0.1
2019-08-27 22:17:00,0.0902,-1.647,-1.7041,7.639,9.286,0.1,0.0025,0.1
2019-08-27 22:18:02,0.0909,-1.595,-1.647,7.67,9.265,0.1,0.0025,0.1
2019-08-27 22:19:00,0.0892,-1.5579,-1.595,7.6904,9.2484,0.1,0.0025,0.1
2019-08-27 22:20:00,0.0976,-1.479,-1.5579,7.7286,9.2077,0.1,0.0025,0.1
2019-08-27 22:21:00,0.1116,-1.3528,-1.479,7.8018,9.1546,0.1,0.0025,0.1
2019-08-27 22:22:00,0.1237,-1.2139,-1.3528,7.8799,9.0938,0.1,0.0025,0.1
2019-08-27 22:23:00,0.1333,-1.0831,-1.2139,7.9541,9.0372,0.1,0.0025,0.1
