datetime,DOsp_1,Delta DOsp,error_1,error_2,Delta error,NH4,NO3,P,I,D,Cntrb. P,Cntrb. I,Cntrb. D
2019-10-01 00:32:00,0.0276,0.0076,-6.9974,-7.0601,0.0627,6.0725,13.0698,0.175,0.00075,0.03,0.011,-0.0052,0.0019
2019-10-01 00:33:00,0.0274,-0.0002,-6.9637,-6.9974,0.0337,6.1008,13.0645,0.175,0.00075,0.03,0.0059,-0.0052,-0.0009
2019-10-01 00:34:00,0.0328,0.0054,-6.9073,-6.9637,0.0564,6.1236,13.031,0.175,0.00075,0.03,0.0099,-0.0052,0.0007
2019-10-01 00:35:00,0.035,0.0022,-6.8634,-6.9073,0.0439,6.1395,13.0029,0.175,0.00075,0.03,0.0077,-0.0051,-0.0004
2019-10-01 00:36:00,0.033,-0.002,-6.8418,-6.8634,0.0216,6.1561,12.9979,0.175,0.00075,0.03,0.0038,-0.0051,-0.0007
2019-10-01 00:37:00,0.0285,-0.0045,-6.8357,-6.8418,0.0061,6.1734,13.0092,0.175,0.00075,0.03,0.0011,-0.0051,-0.0005
2019-10-01 00:38:00,0.0329,0.0044,-6.7886,-6.8357,0.0471,6.2045,12.9931,0.175,0.00075,0.03,0.0082,-0.0051,0.0012
2019-10-01 00:39:00,0.0371,0.0042,-6.7365,-6.7886,0.0521,6.2335,12.97,0.175,0.00075,0.03,0.0091,-0.0051,0.0001
2019-10-01 00:40:00,0.0312,-0.0059,-6.733,-6.7365,0.0035,6.2371,12.97,0.175,0.00075,0.03,0.0006,-0.005,-0.0015
2019-10-01 00:41:00,0.0356,0.0044,-6.6867,-6.733,0.0463,6.2837,12.9704,0.175,0.00075,0.03,0.0081,-0.005,0.0013
2019-10-01 00:42:00,0.038,0.0024,-6.6439,-6.6867,0.0428,6.3035,12.9474,0.175,0.00075,0.03,0.0075,-0.005,-0.0001
2019-10-01 00:43:00,0.0323,-0.0057,-6.6413,-6.6439,0.0026,6.3178,12.9591,0.175,0.00075,0.03,0.0005,-0.005,-0.0012
2019-10-01 00:44:00,0.0362,0.0039,-6.5978,-6.6413,0.0435,6.3327,12.9305,0.175,0.00075,0.03,0.0076,-0.0049,0.0012
2019-10-01 00:45:00,0.0365,0.0003,-6.5658,-6.5978,0.032,6.3532,12.9189,0.175,0.00075,0.03,0.0056,-0.0049,-0.0003
2019-10-01 00:46:00,0.0416,0.0051,-6.5125,-6.5658,0.0533,6.3784,12.8909,0.175,0.00075,0.03,0.0093,-0.0049,0.0006
2019-10-01 00:47:00,0.0382,-0.0034,-6.4974,-6.5125,0.0151,6.3815,12.8789,0.175,0.00075,0.03,0.0026,-0.0049,-0.0011
2019-10-01 00:48:00,0.0409,0.0027,-6.4584,-6.4974,0.039,6.4039,12.8624,0.175,0.00075,0.03,0.0068,-0.0048,0.0007
2019-10-01 00:49:00,0.0334,-0.0075,-6.4658,-6.4584,-0.0074,6.4133,12.8791,0.175,0.00075,0.03,-0.0013,-0.0048,-0.0014
2019-10-01 00:50:00,0.029,-0.0044,-6.4646,-6.4658,0.0012,6.4199,12.8845,0.175,0.00075,0.03,0.0002,-0.0048,0.0003
2019-10-01 00:51:44,0.0327,0.0037,-6.4229,-6.4646,0.0417,6.4337,12.8566,0.175,0.00075,0.03,0.0073,-0.0048,0.0012
2019-10-01 00:52:00,0.0266,-0.0061,-6.4229,-6.4229,0.0,6.4337,12.8566,0.175,0.00075,0.03,0.0,-0.0048,-0.0013
2019-10-01 00:53:01,0.0226,-0.004,-6.4191,-6.4229,0.0038,6.4364,12.8555,0.175,0.00075,0.03,0.0007,-0.0048,0.0001
2019-10-01 00:54:00,0.0226,0.0,,-6.4191,,,,0.175,0.00075,0.03,,,
2019-10-01 00:55:00,0.0468,0.0242,-6.2776,-6.4191,0.1415,6.5346,12.8122,0.175,0.00075,0.03,0.0248,-0.0047,0.0041
2019-10-01 00:56:00,0.0431,-0.0037,-6.2522,-6.2776,0.0254,6.549,12.8012,0.175,0.00075,0.03,0.0044,-0.0047,-0.0035
2019-10-01 00:57:00,0.0389,-0.0042,-6.2459,-6.2522,0.0063,6.5668,12.8127,0.175,0.00075,0.03,0.0011,-0.0047,-0.0006
2019-10-01 00:58:00,0.0351,-0.0038,-6.2408,-6.2459,0.0051,6.583,12.8238,0.175,0.00075,0.03,0.0009,-0.0047,-0.0
2019-10-01 00:59:00,0.0438,0.0087,-6.1751,-6.2408,0.0657,6.6036,12.7787,0.175,0.00075,0.03,0.0115,-0.0046,0.0018
2019-10-01 01:00:00,0.0372,-0.0066,-6.1751,-6.1751,-0.0,6.6036,12.7787,0.175,0.00075,0.03,-0.0,-0.0046,-0.002
2019-10-01 01:01:00,0.0477,0.0105,-6.1016,-6.1751,0.0735,6.6605,12.7621,0.175,0.00075,0.03,0.0129,-0.0046,0.0022
2019-10-01 01:02:00,0.0505,0.0028,-6.055,-6.1016,0.0466,6.6847,12.7397,0.175,0.00075,0.03,0.0082,-0.0045,-0.0008
2019-10-01 01:03:00,0.053,0.0025,-6.0139,-6.055,0.0411,6.703,12.7169,0.175,0.00075,0.03,0.0072,-0.0045,-0.0002
2019-10-01 01:04:00,0.0507,-0.0023,-5.9972,-6.0139,0.0167,6.7314,12.7285,0.175,0.00075,0.03,0.0029,-0.0045,-0.0007
2019-10-01 01:05:00,0.0513,0.0006,-5.9698,-5.9972,0.0274,6.7535,12.7234,0.175,0.00075,0.03,0.0048,-0.0045,0.0003
2019-10-01 01:06:00,0.0537,0.0024,-5.9325,-5.9698,0.0373,6.7743,12.7068,0.175,0.00075,0.03,0.0065,-0.0044,0.0003
2019-10-01 01:07:00,0.0548,0.0011,-5.9001,-5.9325,0.0324,6.8017,12.7018,0.175,0.00075,0.03,0.0057,-0.0044,-0.0001
2019-10-01 01:08:00,0.0621,0.0073,-5.8386,-5.9001,0.0615,6.8298,12.6684,0.175,0.00075,0.03,0.0108,-0.0044,0.0009
2019-10-01 01:09:00,0.0579,-0.0042,-5.8288,-5.8386,0.0098,6.8455,12.6743,0.175,0.00075,0.03,0.0017,-0.0044,-0.0016
2019-10-01 01:10:00,0.0663,0.0084,-5.7651,-5.8288,0.0637,6.8765,12.6416,0.175,0.00075,0.03,0.0112,-0.0043,0.0016
2019-10-01 01:11:00,0.068,0.0017,-5.7265,-5.7651,0.0386,6.8988,12.6253,0.175,0.00075,0.03,0.0068,-0.0043,-0.0008
2019-10-01 01:12:00,0.0625,-0.0055,-5.7265,-5.7265,-0.0,6.8988,12.6253,0.175,0.00075,0.03,-0.0,-0.0043,-0.0012
2019-10-01 01:13:00,0.084,0.0215,-5.6014,-5.7265,0.1251,6.9523,12.5537,0.175,0.00075,0.03,0.0219,-0.0042,0.0038
2019-10-01 01:14:00,0.0884,0.0044,-5.5413,-5.6014,0.0601,6.9796,12.5209,0.175,0.00075,0.03,0.0105,-0.0042,-0.0019
2019-10-01 01:15:00,0.0842,-0.0042,-5.5329,-5.5413,0.0084,6.9992,12.5322,0.175,0.00075,0.03,0.0015,-0.0041,-0.0016
2019-10-01 01:16:00,0.0838,-0.0004,-5.5136,-5.5329,0.0193,7.018,12.5316,0.175,0.00075,0.03,0.0034,-0.0041,0.0003
2019-10-01 01:17:00,0.0893,0.0055,-5.4638,-5.5136,0.0498,7.0409,12.5047,0.175,0.00075,0.03,0.0087,-0.0041,0.0009
2019-10-01 01:18:00,0.0921,0.0028,-5.423,-5.4638,0.0408,7.0764,12.4994,0.175,0.00075,0.03,0.0071,-0.0041,-0.0003
2019-10-01 01:19:00,0.1012,0.0091,-5.3531,-5.423,0.0699,7.1082,12.4613,0.175,0.00075,0.03,0.0122,-0.004,0.0009
2019-10-01 01:20:00,0.1076,0.0064,-5.2922,-5.3531,0.0609,7.1423,12.4344,0.175,0.00075,0.03,0.0107,-0.004,-0.0003
